chromosome,genomic_accession,start,end,strand,class,locus_tag,symbol,name,GeneID
chr2,NC_634150.1,52511802,52529280,-,tRNA,LOC519093,GENE18,Gene 18 protein,90065
chr2,NC_220944.1,154472722,154513388,-,protein_coding,LOC373903,GENE19,Gene 19 protein,24405
chr2,NC_213668.1,13020739,13055300,-,protein_coding,LOC725550,GENE20,Gene 20 protein,57959
chr2,NC_924629.1,7826890,7862774,-,tRNA,LOC428914,GENE21,Gene 21 protein,58199
chr2,NC_704596.1,61513011,61526309,+,pseudogene,LOC299312,GENE22,Gene 22 protein,34386
chr2,NC_557239.1,92763037,92778190,+,tRNA,LOC101773,GENE23,Gene 23 protein,69146
chr2,NC_552248.1,129053191,129064980,+,miRNA,LOC173372,GENE24,Gene 24 protein,88062
chr2,NC_429164.1,171258661,171272660,-,rRNA,LOC795612,GENE25,Gene 25 protein,17334
chr2,NC_424308.1,208821942,208823756,-,rRNA,LOC799287,GENE26,Gene 26 protein,54528
chr2,NC_831076.1,163006457,163017998,-,pseudogene,LOC410016,GENE27,Gene 27 protein,73667
chr2,NC_540869.1,225372170,225375613,+,lncRNA,LOC797229,GENE28,Gene 28 protein,50695
chr2,NC_696750.1,158379897,158391277,+,rRNA,LOC415568,GENE29,Gene 29 protein,54225
chr2,NC_400850.1,60728583,60773824,+,miRNA,LOC320392,GENE30,Gene 30 protein,57346
chr2,NC_563246.1,210356856,210373184,-,pseudogene,LOC563638,GENE31,Gene 31 protein,89555
chr2,NC_596171.1,77882638,77909853,+,rRNA,LOC932291,GENE32,Gene 32 protein,97463
chr2,NC_188914.1,130937162,130958077,+,tRNA,LOC397571,GENE33,Gene 33 protein,68561
chr2,NC_958179.1,170664587,170702806,-,protein_coding,LOC887625,GENE34,Gene 34 protein,31784
chr2,NC_945742.1,188007055,188054458,-,lncRNA,LOC308802,GENE35,Gene 35 protein,20313
chr2,NC_356736.1,172262180,172301907,+,protein_coding,LOC598216,GENE36,Gene 36 protein,81120
chr2,NC_534572.1,113346334,113374966,+,pseudogene,LOC760356,GENE37,Gene 37 protein,76454
chr2,NC_830180.1,59320571,59365980,+,tRNA,LOC502630,GENE38,Gene 38 protein,65799
chr2,NC_254739.1,27680296,27701826,-,lncRNA,LOC787926,GENE39,Gene 39 protein,91128
chr2,NC_916232.1,210313916,210359243,+,protein_coding,LOC545798,GENE40,Gene 40 protein,29683
chr2,NC_643118.1,120099784,120104581,+,tRNA,LOC587115,GENE41,Gene 41 protein,7582
chr2,NC_578634.1,153371050,153385768,+,protein_coding,LOC239816,GENE42,Gene 42 protein,61901
chr2,NC_742412.1,218018253,218041369,-,pseudogene,LOC954596,GENE43,Gene 43 protein,95276
chr2,NC_567574.1,203428916,203466101,-,rRNA,LOC266889,GENE44,Gene 44 protein,98472
chr2,NC_371782.1,113478925,113527448,-,pseudogene,LOC888295,GENE45,Gene 45 protein,33406
chr2,NC_608136.1,107434614,107454870,-,rRNA,LOC757193,GENE46,Gene 46 protein,32358
chr2,NC_181247.1,84480672,84516294,-,pseudogene,LOC848206,GENE47,Gene 47 protein,38450
chr2,NC_452161.1,81008854,81049136,+,miRNA,LOC435239,GENE48,Gene 48 protein,71798
chr2,NC_258157.1,123689543,123693251,+,lncRNA,LOC342495,GENE49,Gene 49 protein,51205
chr2,NC_324345.1,18592846,18603370,+,tRNA,LOC167348,GENE50,Gene 50 protein,55377
chr2,NC_668969.1,97583912,97624136,-,miRNA,LOC588557,GENE51,Gene 51 protein,55496
chr2,NC_973349.1,19994388,20027797,+,lncRNA,LOC540552,GENE52,Gene 52 protein,52049
chr3,NC_498858.1,99608798,99644191,+,rRNA,LOC600149,GENE1,Gene 1 protein,1772
chr3,NC_890075.1,192753386,192762359,-,miRNA,LOC508930,GENE2,Gene 2 protein,55921
chr3,NC_330080.1,145467425,145476495,+,pseudogene,LOC386193,GENE3,Gene 3 protein,58125
chr3,NC_507746.1,148075377,148085043,-,protein_coding,LOC452457,GENE4,Gene 4 protein,88670
chr3,NC_273061.1,186736634,186774002,-,tRNA,LOC981334,GENE5,Gene 5 protein,62261
chr3,NC_660069.1,105619743,105666737,+,rRNA,LOC128276,GENE6,Gene 6 protein,52645
chr3,NC_773971.1,141175386,141181357,+,protein_coding,LOC549433,GENE7,Gene 7 protein,18786
chr3,NC_152727.1,162232730,162247220,-,lncRNA,LOC372793,GENE8,Gene 8 protein,50689
chr3,NC_576786.1,65091256,65094246,-,lncRNA,LOC442722,GENE9,Gene 9 protein,45236
chr3,NC_888539.1,174103379,174150144,-,miRNA,LOC972335,GENE10,Gene 10 protein,56255
chr3,NC_593152.1,145609876,145633235,-,protein_coding,LOC120324,GENE11,Gene 11 protein,99176
chr3,NC_335113.1,131078076,131107810,+,miRNA,LOC781725,GENE12,Gene 12 protein,9993
chr3,NC_359295.1,118585994,118591751,+,protein_coding,LOC309044,GENE13,Gene 13 protein,3671
chr3,NC_232352.1,140103993,140115388,+,lncRNA,LOC596564,GENE14,Gene 14 protein,88747
chr3,NC_328552.1,108250641,108289997,+,rRNA,LOC587623,GENE15,Gene 15 protein,92680
chr3,NC_275939.1,65270480,65276424,-,miRNA,LOC735324,GENE16,Gene 16 protein,80593
chr3,NC_426147.1,101333747,101354563,+,lncRNA,LOC213349,GENE17,Gene 17 protein,76849
chr3,NC_703766.1,101730640,101768651,+,miRNA,LOC810250,GENE18,Gene 18 protein,50192
chr3,NC_307963.1,170284309,170310226,-,tRNA,LOC179688,GENE19,Gene 19 protein,78607
chr3,NC_831059.1,98238587,98261153,+,protein_coding,LOC910004,GENE20,Gene 20 protein,40529
chr3,NC_920652.1,9527504,9549310,+,rRNA,LOC143064,GENE21,Gene 21 protein,46508
chr3,NC_488571.1,141340064,141342823,-,tRNA,LOC172306,GENE22,Gene 22 protein,67317
chr3,NC_990844.1,19755820,19798769,-,protein_coding,LOC540463,GENE23,Gene 23 protein,65251
chr3,NC_479781.1,96331290,96366009,+,pseudogene,LOC766459,GENE24,Gene 24 protein,61258
chr3,NC_284692.1,99117426,99146391,+,pseudogene,LOC869440,GENE25,Gene 25 protein,69386
chr3,NC_947458.1,75861695,75865412,-,rRNA,LOC664315,GENE26,Gene 26 protein,64372
chr3,NC_965845.1,13791164,13820116,-,pseudogene,LOC866536,GENE27,Gene 27 protein,78656
chr3,NC_993085.1,157079628,157123088,-,miRNA,LOC357420,GENE28,Gene 28 protein,12359
chr3,NC_355709.1,148563901,148572212,-,pseudogene,LOC886931,GENE29,Gene 29 protein,61910
chr3,NC_130094.1,10155079,10179649,-,miRNA,LOC618317,GENE30,Gene 30 protein,43600
chr3,NC_322423.1,13881009,13915545,+,pseudogene,LOC472060,GENE31,Gene 31 protein,34862
chr3,NC_725113.1,109740269,109779527,-,miRNA,LOC835244,GENE32,Gene 32 protein,37211
chr3,NC_300337.1,67912526,67942391,+,rRNA,LOC189771,GENE33,Gene 33 protein,32635
chr3,NC_682144.1,148086933,148125933,-,pseudogene,LOC894993,GENE34,Gene 34 protein,32499
chr3,NC_846420.1,110751505,110763990,-,tRNA,LOC614663,GENE35,Gene 35 protein,59743
chr3,NC_408528.1,66054738,66068080,+,protein_coding,LOC332360,GENE36,Gene 36 protein,54005
chr3,NC_796212.1,37103110,37152880,+,miRNA,LOC709805,GENE37,Gene 37 protein,49368
chr3,NC_656711.1,95885737,95920986,-,rRNA,LOC460455,GENE38,Gene 38 protein,56771
chr3,NC_836996.1,96437874,96448967,-,miRNA,LOC575786,GENE39,Gene 39 protein,36509
chr3,NC_341736.1,114253633,114301823,-,miRNA,LOC226516,GENE40,Gene 40 protein,95540
chr3,NC_225362.1,178046678,178088089,+,miRNA,LOC878967,GENE41,Gene 41 protein,71236
chr3,NC_326895.1,117304767,117325613,+,lncRNA,LOC874483,GENE42,Gene 42 protein,64464
chr3,NC_718226.1,145802236,145847275,-,tRNA,LOC897135,GENE43,Gene 43 protein,69765
chr3,NC_973074.1,116476384,116522752,-,protein_coding,LOC303547,GENE44,Gene 44 protein,39829
chr3,NC_288158.1,148156822,148204885,+,miRNA,LOC416950,GENE45,Gene 45 protein,2854
chr3,NC_147726.1,37092982,37104664,+,miRNA,LOC157174,GENE46,Gene 46 protein,73529
chr3,NC_232413.1,23756190,23765709,-,tRNA,LOC768854,GENE47,Gene 47 protein,99669
chr3,NC_112861.1,178807509,178839989,-,protein_coding,LOC701949,GENE48,Gene 48 protein,38268
chr3,NC_561865.1,29922180,29929902,-,pseudogene,LOC457256,GENE49,Gene 49 protein,25164
chr3,NC_600935.1,53617362,53642522,+,miRNA,LOC219629,GENE50,Gene 50 protein,9564
chr3,NC_177680.1,143178663,143187633,-,pseudogene,LOC705050,GENE51,Gene 51 protein,83502
chr3,NC_256445.1,149422829,149433332,+,lncRNA,LOC950544,GENE52,Gene 52 protein,74772
chr3,NC_360247.1,185627415,185676332,-,protein_coding,LOC224205,GENE53,Gene 53 protein,74147
chr3,NC_725084.1,76206218,76219393,-,rRNA,LOC929151,GENE54,Gene 54 protein,82057
chr3,NC_498855.1,95377507,95419631,+,rRNA,LOC572398,GENE55,Gene 55 protein,59028
chr3,NC_549660.1,69171029,69193418,-,rRNA,LOC420214,GENE56,Gene 56 protein,75531
chr3,NC_876039.1,185418110,185419932,+,rRNA,LOC204053,GENE57,Gene 57 protein,28235
chr3,NC_792509.1,91736655,91784712,+,miRNA,LOC185131,GENE58,Gene 58 protein,21585
chr3,NC_678805.1,55942822,55948247,+,lncRNA,LOC178711,GENE59,Gene 59 protein,21517
chr3,NC_572387.1,98920870,98937902,+,pseudogene,LOC822858,GENE60,Gene 60 protein,78832
chr4,NC_134225.1,153121524,153142603,-,miRNA,LOC342720,GENE1,Gene 1 protein,38762
chr4,NC_576086.1,6302258,6317117,-,tRNA,LOC174637,GENE2,Gene 2 protein,91096
chr4,NC_926097.1,77089724,77122143,+,miRNA,LOC929683,GENE3,Gene 3 protein,82927
chr4,NC_220351.1,70735601,70745306,+,pseudogene,LOC671015,GENE4,Gene 4 protein,30466
chr4,NC_966785.1,153103904,153128140,+,miRNA,LOC249145,GENE5,Gene 5 protein,10359
chr4,NC_931131.1,126017075,126038053,+,lncRNA,LOC422554,GENE6,Gene 6 protein,78993
chr4,NC_230394.1,40573321,40589679,-,pseudogene,LOC591465,GENE7,Gene 7 protein,91266
chr4,NC_522060.1,20253729,20284107,-,tRNA,LOC385470,GENE8,Gene 8 protein,66597
chr4,NC_184349.1,119478390,119490772,-,pseudogene,LOC727086,GENE9,Gene 9 protein,6224
chr4,NC_437978.1,77682731,77698327,-,tRNA,LOC733039,GENE10,Gene 10 protein,33816
chr4,NC_340044.1,140511684,140525905,+,protein_coding,LOC807053,GENE11,Gene 11 protein,76392
chr4,NC_961322.1,102468511,102515471,+,tRNA,LOC382602,GENE12,Gene 12 protein,76529
chr4,NC_593355.1,137584130,137628991,+,lncRNA,LOC644173,GENE13,Gene 13 protein,86394
chr4,NC_290305.1,127912971,127943946,-,miRNA,LOC713762,GENE14,Gene 14 protein,58132
chr4,NC_592841.1,14172989,14193052,-,protein_coding,LOC464863,GENE15,Gene 15 protein,54523
chr4,NC_802685.1,84076173,84126027,-,miRNA,LOC209680,GENE16,Gene 16 protein,22079
chr4,NC_827369.1,96604946,96633802,-,pseudogene,LOC619536,GENE17,Gene 17 protein,38777
chr4,NC_138479.1,80318637,80332445,-,rRNA,LOC576919,GENE18,Gene 18 protein,12542
chr4,NC_438977.1,178917575,178955376,-,miRNA,LOC221552,GENE19,Gene 19 protein,53976
chr4,NC_668950.1,36513676,36548748,+,tRNA,LOC584417,GENE20,Gene 20 protein,55165
chr4,NC_643623.1,33977350,34002102,+,lncRNA,LOC479353,GENE21,Gene 21 protein,82609
chr4,NC_563513.1,61758869,61777554,-,tRNA,LOC896907,GENE22,Gene 22 protein,7764
chr4,NC_675898.1,96437130,96479531,+,miRNA,LOC237377,GENE23,Gene 23 protein,38752
chr4,NC_608257.1,109932220,109944592,-,tRNA,LOC227324,GENE24,Gene 24 protein,4783
chr4,NC_266071.1,16085249,16095245,+,tRNA,LOC425845,GENE25,Gene 25 protein,73199
chr4,NC_527809.1,79087338,79120227,+,rRNA,LOC197736,GENE26,Gene 26 protein,30451
chr4,NC_223172.1,127495967,127523632,+,pseudogene,LOC779172,GENE27,Gene 27 protein,21181
chr4,NC_406039.1,60300291,60332944,-,tRNA,LOC633590,GENE28,Gene 28 protein,93459
chr4,NC_975271.1,20180673,20221625,-,pseudogene,LOC605937,GENE29,Gene 29 protein,62894
chr4,NC_678043.1,130014532,130047428,+,pseudogene,LOC251668,GENE30,Gene 30 protein,51277
chr4,NC_632929.1,74152985,74166860,+,rRNA,LOC882544,GENE31,Gene 31 protein,18892
chr4,NC_910208.1,81366262,81416018,+,miRNA,LOC928381,GENE32,Gene 32 protein,55387
chr4,NC_380150.1,47326729,47344454,-,rRNA,LOC960408,GENE33,Gene 33 protein,1336
chr4,NC_413058.1,51148404,51190164,-,tRNA,LOC978157,GENE34,Gene 34 protein,77931
chr4,NC_568238.1,70960062,70978091,-,lncRNA,LOC664742,GENE35,Gene 35 protein,64483
chr4,NC_678727.1,150050631,150082618,-,miRNA,LOC899929,GENE36,Gene 36 protein,72228
chr4,NC_437408.1,34880908,34929832,-,pseudogene,LOC297816,GENE37,Gene 37 protein,92422
chr4,NC_501574.1,46461481,46474145,+,rRNA,LOC344907,GENE38,Gene 38 protein,54841
chr4,NC_880879.1,188092985,188129781,+,miRNA,LOC595951,GENE39,Gene 39 protein,93435
chr4,NC_795928.1,35054715,35085088,-,pseudogene,LOC930884,GENE40,Gene 40 protein,86461
chr4,NC_138817.1,81350937,81388334,+,pseudogene,LOC232378,GENE41,Gene 41 protein,66836
chr4,NC_986088.1,177788705,177825540,-,protein_coding,LOC561694,GENE42,Gene 42 protein,14069
chr5,NC_857537.1,87282130,87304302,-,protein_coding,LOC251157,GENE1,Gene 1 protein,54736
chr5,NC_592296.1,174699459,174722333,+,protein_coding,LOC919488,GENE2,Gene 2 protein,35737
chr5,NC_826353.1,24794812,24819875,-,rRNA,LOC516791,GENE3,Gene 3 protein,86175
chr5,NC_993744.1,174104899,174131611,+,miRNA,LOC807115,GENE4,Gene 4 protein,70942
chr5,NC_757246.1,146270042,146282088,-,miRNA,LOC853629,GENE5,Gene 5 protein,64956
chr5,NC_171744.1,16870274,16900043,+,rRNA,LOC346174,GENE6,Gene 6 protein,83727
chr5,NC_883041.1,93083350,93107500,-,lncRNA,LOC194769,GENE7,Gene 7 protein,57881
chr5,NC_838083.1,71340343,71346196,+,tRNA,LOC205389,GENE8,Gene 8 protein,59153
chr5,NC_414012.1,43055157,43080020,+,tRNA,LOC130353,GENE9,Gene 9 protein,7028
chr5,NC_407618.1,117955520,117997003,-,protein_coding,LOC475876,GENE10,Gene 10 protein,50131
chr5,NC_356059.1,171223438,171272713,-,lncRNA,LOC656968,GENE11,Gene 11 protein,55008
chr5,NC_283573.1,159073394,159076156,+,lncRNA,LOC182804,GENE12,Gene 12 protein,80887
chr5,NC_816318.1,124781459,124798309,-,rRNA,LOC352528,GENE13,Gene 13 protein,66230
chr5,NC_583550.1,145733104,145758162,+,lncRNA,LOC768891,GENE14,Gene 14 protein,34289
chr5,NC_799233.1,147601420,147641310,-,miRNA,LOC109853,GENE15,Gene 15 protein,61981
chr5,NC_673149.1,93489281,93537585,-,tRNA,LOC265649,GENE16,Gene 16 protein,10681
chr5,NC_716113.1,89917241,89958626,-,miRNA,LOC413685,GENE17,Gene 17 protein,84746
chr5,NC_362246.1,137039592,137055640,-,tRNA,LOC579027,GENE18,Gene 18 protein,40599
chr5,NC_994787.1,167776199,167815103,+,pseudogene,LOC606680,GENE19,Gene 19 protein,14979
chr5,NC_699704.1,162422048,162457056,+,pseudogene,LOC476395,GENE20,Gene 20 protein,76341
chr5,NC_409571.1,74942172,74952302,-,tRNA,LOC123005,GENE21,Gene 21 protein,87275
chr5,NC_108491.1,153799943,153846023,-,miRNA,LOC693419,GENE22,Gene 22 protein,90889
chr5,NC_881369.1,57796034,57842220,+,rRNA,LOC620856,GENE23,Gene 23 protein,38512
chr5,NC_940886.1,65664145,65699165,+,rRNA,LOC469435,GENE24,Gene 24 protein,29705
chr5,NC_362801.1,10147595,10189726,+,rRNA,LOC810687,GENE25,Gene 25 protein,95493
chr5,NC_201883.1,129805394,129826327,+,tRNA,LOC757937,GENE26,Gene 26 protein,85717
chr5,NC_926918.1,22664965,22689358,+,miRNA,LOC562236,GENE27,Gene 27 protein,5373
chr5,NC_237795.1,174448811,174476023,-,tRNA,LOC194511,GENE28,Gene 28 protein,39680
chr5,NC_535686.1,125006539,125011629,-,tRNA,LOC284171,GENE29,Gene 29 protein,27318
chr5,NC_483629.1,105750992,105787764,+,rRNA,LOC656639,GENE30,Gene 30 protein,66771
chr5,NC_369452.1,171956912,171994320,-,lncRNA,LOC964749,GENE31,Gene 31 protein,64156
chr5,NC_455168.1,36632022,36653513,-,tRNA,LOC943298,GENE32,Gene 32 protein,16095
chr5,NC_247594.1,180063197,180108820,-,protein_coding,LOC890785,GENE33,Gene 33 protein,30571
chr5,NC_483542.1,36145138,36152033,-,rRNA,LOC194689,GENE34,Gene 34 protein,52717
chr5,NC_662636.1,60012158,60024502,+,miRNA,LOC229592,GENE35,Gene 35 protein,60609
chr5,NC_885395.1,145198454,145201875,-,tRNA,LOC805000,GENE36,Gene 36 protein,35362
chr5,NC_489518.1,52634223,52640542,-,tRNA,LOC213609,GENE37,Gene 37 protein,89452
chr5,NC_126240.1,121921649,121934567,+,pseudogene,LOC749641,GENE38,Gene 38 protein,74584
chr5,NC_332120.1,24474842,24500906,-,rRNA,LOC779112,GENE39,Gene 39 protein,9285
chr5,NC_416869.1,28272140,28319757,-,tRNA,LOC780776,GENE40,Gene 40 protein,54516
chr5,NC_147549.1,169436878,169465813,+,lncRNA,LOC139019,GENE41,Gene 41 protein,40893
chr5,NC_201913.1,77732265,77762976,-,protein_coding,LOC346205,GENE42,Gene 42 protein,71457
chr5,NC_575679.1,23487092,23507633,+,pseudogene,LOC489033,GENE43,Gene 43 protein,88881
chr5,NC_878325.1,173995929,174013703,-,rRNA,LOC861894,GENE44,Gene 44 protein,21253
chr5,NC_203831.1,145896877,145935075,-,tRNA,LOC974190,GENE45,Gene 45 protein,65139
chr5,NC_134305.1,42707220,42732290,-,miRNA,LOC823811,GENE46,Gene 46 protein,49566
chr5,NC_566297.1,22000146,22016169,+,pseudogene,LOC347582,GENE47,Gene 47 protein,48537
chr5,NC_485178.1,144231569,144274355,+,tRNA,LOC670913,GENE48,Gene 48 protein,85518
chr5,NC_517479.1,29161846,29197114,-,protein_coding,LOC389282,GENE49,Gene 49 protein,25878
chr5,NC_196126.1,157786353,157823415,+,pseudogene,LOC794963,GENE50,Gene 50 protein,28801
chr5,NC_925013.1,137751110,137771536,+,protein_coding,LOC449709,GENE51,Gene 51 protein,32925
chr5,NC_315173.1,28448817,28467667,+,rRNA,LOC171942,GENE52,Gene 52 protein,73641
chr5,NC_326441.1,70603913,70605527,+,rRNA,LOC952547,GENE53,Gene 53 protein,31539
chr5,NC_926952.1,159046576,159071653,-,lncRNA,LOC724932,GENE54,Gene 54 protein,1371
chr5,NC_236306.1,145140542,145176977,-,lncRNA,LOC666456,GENE55,Gene 55 protein,33853
chr5,NC_793169.1,62176001,62193515,+,protein_coding,LOC127032,GENE56,Gene 56 protein,18275
chr5,NC_928358.1,37847492,37878358,+,miRNA,LOC926730,GENE57,Gene 57 protein,32186
chr5,NC_282710.1,117674567,117707272,-,protein_coding,LOC378258,GENE58,Gene 58 protein,7868
chr5,NC_541409.1,160159574,160184084,+,tRNA,LOC651640,GENE59,Gene 59 protein,15896
chr5,NC_570050.1,12367883,12409881,+,pseudogene,LOC915809,GENE60,Gene 60 protein,48453
chr5,NC_628313.1,12084398,12113933,+,pseudogene,LOC332311,GENE61,Gene 61 protein,81623
chr5,NC_921273.1,169713808,169759355,+,tRNA,LOC790909,GENE62,Gene 62 protein,69347
chr5,NC_774591.1,175004668,175020985,-,pseudogene,LOC132663,GENE63,Gene 63 protein,8972
chr5,NC_546980.1,26954296,26962860,-,pseudogene,LOC819425,GENE64,Gene 64 protein,15150
chr5,NC_565108.1,3928433,3977721,-,tRNA,LOC177060,GENE65,Gene 65 protein,11589
chr5,NC_255539.1,47249071,47263808,-,rRNA,LOC168872,GENE66,Gene 66 protein,17540
chr5,NC_763829.1,7252747,7268976,-,rRNA,LOC713799,GENE67,Gene 67 protein,72874
chr5,NC_726410.1,104900566,104902111,-,pseudogene,LOC656329,GENE68,Gene 68 protein,39652
chr5,NC_734836.1,91451453,91489567,-,rRNA,LOC551096,GENE69,Gene 69 protein,13999
chr5,NC_782535.1,124384044,124415013,+,tRNA,LOC906315,GENE70,Gene 70 protein,73264
chr5,NC_573489.1,6833215,6848134,+,pseudogene,LOC339592,GENE71,Gene 71 protein,55239
chr5,NC_518098.1,32439834,32480808,-,pseudogene,LOC536196,GENE72,Gene 72 protein,96631
chr5,NC_547494.1,40839629,40857000,+,miRNA,LOC427704,GENE73,Gene 73 protein,88177
chr6,NC_260053.1,73923165,73932601,-,miRNA,LOC820184,GENE1,Gene 1 protein,63163
chr6,NC_972176.1,10860888,10894927,+,protein_coding,LOC189511,GENE2,Gene 2 protein,13219
chr6,NC_880758.1,93244811,93256427,-,protein_coding,LOC874683,GENE3,Gene 3 protein,49843
chr6,NC_162894.1,78583721,78624558,+,rRNA,LOC714953,GENE4,Gene 4 protein,74608
chr6,NC_228168.1,102622878,102627308,-,tRNA,LOC530764,GENE5,Gene 5 protein,47346
chr6,NC_153945.1,96819187,96832863,-,tRNA,LOC401601,GENE6,Gene 6 protein,79696
