query_name,query_chr,query_start,query_end,query_strand,ref_chr,ref_start,ref_end,ref_species,qry_lvl
Species_2,chr18,31773482,37751100,-,chr18,18310852,24614649,Reference,chromosome
Species_2,chr18,41201137,45295768,+,chr18,36940920,38342772,Reference,chromosome
Species_2,chr18,50437769,53763481,-,chr18,45362902,55564054,Reference,chromosome
Species_2,chr18,58849484,65397021,+,chr18,63989020,70872506,Reference,chromosome
Species_2,chr22,7742471,16508542,+,chr22,1448345,8827494,Reference,chromosome
Species_2,chr22,20164528,21254678,-,chr22,10137682,11080346,Reference,chromosome
Species_2,chr22,21812709,30945518,-,chr22,16814828,36433922,Reference,chromosome
Species_2,chr22,23521804,32654613,-,chr22,39538877,49763532,Reference,chromosome
Species_3,chr8,3667867,7267135,-,chr8,11986868,19892008,Reference,chromosome
Species_3,chr8,66557447,70267861,+,chr8,36427853,40521538,Reference,chromosome
Species_3,chr8,84845477,98471306,+,chr8,41480309,56553464,Reference,chromosome
Species_3,chr8,100471732,117137495,-,chr8,74190814,94691765,Reference,chromosome
Species_3,chr8,118601287,144330937,+,chr8,100204497,126881648,Reference,chromosome
Species_3,chr15,14021573,21514641,+,chr15,21088365,28345820,Reference,chromosome
Species_3,chr15,53827729,60675299,+,chr15,36154828,91012399,Reference,chromosome
Species_3,chr19,2635156,9589897,+,chr19,7285088,22496823,Reference,chromosome
Species_3,chr19,50907857,69456114,+,chr19,37869124,47136438,Reference,chromosome
Species_3,chr9,2722320,10981864,-,chr9,39019582,59720660,Reference,chromosome
Species_3,chr9,56229238,76388554,+,chr9,101532608,134973601,Reference,chromosome
Species_3,chr1,14832640,24271678,-,chr1,7195200,18864557,Reference,chromosome
Species_3,chr1,85729603,100648266,-,chr1,57024141,72086130,Reference,chromosome
Species_3,chr1,197119899,257667963,-,chr1,76356616,107222252,Reference,chromosome
Species_3,chr1,202418785,268783455,-,chr1,188581132,231145108,Reference,chromosome
Species_3,chr6,49840101,60196685,+,chr6,8102173,23064334,Reference,chromosome
Species_3,chr6,72209537,113797408,+,chr6,39720111,118922192,Reference,chromosome
Species_3,chr6,121907878,122984886,-,chr6,123332984,124620654,Reference,chromosome
Species_3,chr14,44558992,61653924,-,chr14,11320855,19130254,Reference,chromosome
Species_3,chr14,72766557,100159187,+,chr14,20350835,58597408,Reference,chromosome
Species_3,chr14,93525563,101282017,-,chr14,61084389,70562616,Reference,chromosome
Species_3,chr11,14081782,33617517,-,chr11,16734209,37081386,Reference,chromosome
Species_3,chr11,26827438,28262818,+,chr11,70800140,74658410,Reference,chromosome
Species_3,chr11,92893487,97358514,-,chr11,93903549,103512692,Reference,chromosome
Species_3,chr21,3382357,6923138,+,chr21,2910705,6723601,Reference,chromosome
Species_3,chr21,14630084,16723605,-,chr21,17618153,19727583,Reference,chromosome
Species_3,chr21,15677069,16349098,+,chr21,21568697,22900338,Reference,chromosome
Species_3,chr21,17099248,26870522,+,chr21,23383810,36156028,Reference,chromosome
Species_3,chr21,23056764,24672923,-,chr21,40902996,42311634,Reference,chromosome
Species_3,chr3,35861938,64827082,+,chr3,11466615,43758171,Reference,chromosome
Species_3,chr3,51154221,54788183,+,chr3,94842126,98663674,Reference,chromosome
Species_3,chr3,112023110,136880597,-,chr3,108523287,135285389,Reference,chromosome
Species_3,chr3,138184150,145229801,+,chr3,142802881,150370722,Reference,chromosome
Species_3,chr3,179871077,182841303,+,chr3,158155630,161324985,Reference,chromosome
Species_3,chr4,94198563,130906130,-,chr4,103318312,169239170,Reference,chromosome
Species_3,chr4,105544289,107664264,-,chr4,181741265,183984073,Reference,chromosome
Species_3,chr13,29272916,44374998,+,chr13,36555041,54028791,Reference,chromosome
Species_3,chr13,35499221,51045338,+,chr13,60292991,77301164,Reference,chromosome
Species_3,chr13,80357216,102132761,-,chr13,77658629,110964730,Reference,chromosome
Species_3,chr22,4094235,12850164,-,chr22,12242014,15638832,Reference,chromosome
Species_3,chr22,20636869,23247831,+,chr22,18810471,21446082,Reference,chromosome
Species_3,chr22,27337283,36725173,+,chr22,26706501,32055169,Reference,chromosome
Species_3,chr22,28375197,35781774,+,chr22,39166770,41636644,Reference,chromosome
Species_3,chr2,27216317,104564960,+,chr2,85740096,129161931,Reference,chromosome
Species_3,chr2,127111882,142574378,+,chr2,207674009,225784942,Reference,chromosome
