chromosome,genomic_accession,start,end,strand,class,locus_tag,symbol,name,GeneID
1,CP075493.1,849870,851744,+,protein_coding,I4U23_000163,,,
1,CP075493.1,851873,852421,+,protein_coding,I4U23_000164,,,
1,CP075493.1,856896,857603,+,protein_coding,I4U23_000165,,,
1,CP075493.1,859780,860829,+,protein_coding,I4U23_000166,,,
1,CP075493.1,861474,861797,-,protein_coding,I4U23_000167,,,
1,CP075493.1,861948,865959,-,protein_coding,I4U23_000168,,,
1,CP075493.1,873672,875240,+,protein_coding,I4U23_000169,,,
1,CP075493.1,877574,879433,-,protein_coding,I4U23_000170,,,
1,CP075493.1,880834,885430,-,protein_coding,I4U23_000171,,,
1,CP075493.1,888369,889187,+,protein_coding,I4U23_000172,,,
1,CP075493.1,891603,892655,+,protein_coding,I4U23_000173,,,
1,CP075493.1,895469,896434,+,protein_coding,I4U23_000174,,,
1,CP075493.1,897484,898478,+,protein_coding,I4U23_000175,,,
1,CP075493.1,899207,900262,+,protein_coding,I4U23_000176,,,
1,CP075493.1,900374,901410,+,protein_coding,I4U23_000177,,,
1,CP075493.1,901671,902782,-,protein_coding,I4U23_000178,,,
1,CP075493.1,904301,905409,-,protein_coding,I4U23_000179,,,
1,CP075493.1,905566,905868,+,protein_coding,I4U23_000180,,,
1,CP075493.1,905921,909902,-,protein_coding,I4U23_000181,,,
1,CP075493.1,910676,913217,-,protein_coding,I4U23_000182,,,
1,CP075493.1,913969,915255,+,protein_coding,I4U23_000183,,,
1,CP075493.1,915576,916215,-,protein_coding,I4U23_000184,,,
1,CP075493.1,917291,920513,-,protein_coding,I4U23_000185,,,
1,CP075493.1,921008,921471,+,protein_coding,I4U23_000186,,,
1,CP075493.1,921559,921640,+,tRNA,I4U23_000187,,,
1,CP075493.1,921906,930136,+,protein_coding,I4U23_000188,,,
1,CP075493.1,930277,931010,-,protein_coding,I4U23_000189,,,
1,CP075493.1,932991,933707,-,protein_coding,I4U23_000190,,,
1,CP075493.1,935867,939617,+,protein_coding,I4U23_000191,,,
1,CP075493.1,939876,941019,-,protein_coding,I4U23_000192,,,
1,CP075493.1,950223,950601,-,protein_coding,I4U23_000193,,,
1,CP075493.1,951060,952012,-,protein_coding,I4U23_000194,,,
1,CP075493.1,952158,952442,-,protein_coding,I4U23_000195,,,
1,CP075493.1,953481,956376,+,protein_coding,I4U23_000196,,,
1,CP075493.1,957531,958618,-,protein_coding,I4U23_000197,,,
1,CP075493.1,960181,961428,+,protein_coding,I4U23_000198,,,
1,CP075493.1,962771,965000,+,protein_coding,I4U23_000199,,,
1,CP075493.1,966872,967127,-,protein_coding,I4U23_000200,,,
1,CP075493.1,967462,968007,+,protein_coding,I4U23_000201,,,
1,CP075493.1,970235,971352,-,protein_coding,I4U23_000202,,,
1,CP075493.1,973052,974761,+,protein_coding,I4U23_000203,,,
1,CP075493.1,974925,976013,-,protein_coding,I4U23_000204,,,
1,CP075493.1,976280,976934,-,protein_coding,I4U23_000205,,,
1,CP075493.1,977757,978305,+,protein_coding,I4U23_000206,,,
1,CP075493.1,979060,979860,+,protein_coding,I4U23_000207,,,
1,CP075493.1,981671,985764,-,protein_coding,I4U23_000208,,,
1,CP075493.1,990758,991627,+,protein_coding,I4U23_000209,,,
1,CP075493.1,991933,995167,-,protein_coding,I4U23_000210,,,
1,CP075493.1,995528,996728,+,protein_coding,I4U23_000211,,,
1,CP075493.1,996865,997344,+,protein_coding,I4U23_000212,,,
1,CP075493.1,997881,998379,+,protein_coding,I4U23_000213,,,
1,CP075493.1,998469,1001849,+,protein_coding,I4U23_000214,,,
1,CP075493.1,1002271,1003254,+,protein_coding,I4U23_000215,,,
1,CP075493.1,1005341,1006715,+,protein_coding,I4U23_000216,,,
1,CP075493.1,1007512,1008218,-,protein_coding,I4U23_000217,,,
1,CP075493.1,1013762,1015184,-,protein_coding,I4U23_000218,,,
1,CP075493.1,1021714,1021908,-,protein_coding,I4U23_000219,,,
1,CP075493.1,1022687,1023942,+,protein_coding,I4U23_000220,,,
1,CP075493.1,1026226,1027288,+,protein_coding,I4U23_000221,,,
1,CP075493.1,1027705,1030276,-,protein_coding,I4U23_000222,,,
1,CP075493.1,1031389,1032353,+,protein_coding,I4U23_000223,,,
1,CP075493.1,1032573,1034680,-,protein_coding,I4U23_000224,,,
1,CP075493.1,1036087,1036730,+,protein_coding,I4U23_000225,,,
1,CP075493.1,1037755,1038493,+,protein_coding,I4U23_000226,,,
1,CP075493.1,1039997,1040233,-,protein_coding,I4U23_000227,,,
1,CP075493.1,1042934,1043956,-,protein_coding,I4U23_000228,,,
1,CP075493.1,1046066,1051459,+,protein_coding,I4U23_000229,,,
1,CP075493.1,1053568,1054403,+,protein_coding,I4U23_000230,,,
1,CP075493.1,1055608,1055825,+,protein_coding,I4U23_000231,,,
1,CP075493.1,1056035,1057090,-,protein_coding,I4U23_000232,,,
1,CP075493.1,1057173,1058054,-,protein_coding,I4U23_000233,,,
1,CP075493.1,1059179,1062042,-,protein_coding,I4U23_000234,,,
1,CP075493.1,1062211,1063125,-,protein_coding,I4U23_000235,,,
1,CP075493.1,1063331,1064662,-,protein_coding,I4U23_000236,,,
1,CP075493.1,1065192,1066060,+,protein_coding,I4U23_000237,,,
1,CP075493.1,1067195,1068417,+,protein_coding,I4U23_000238,,,
1,CP075493.1,1069534,1070645,-,protein_coding,I4U23_000239,,,
1,CP075493.1,1077046,1077507,-,protein_coding,I4U23_000240,,,
1,CP075493.1,1079322,1079489,+,protein_coding,I4U23_000241,,,
1,CP075493.1,1080103,1081266,+,protein_coding,I4U23_000242,,,
1,CP075493.1,1081491,1082377,-,protein_coding,I4U23_000243,,,
1,CP075493.1,1085938,1086574,-,protein_coding,I4U23_000244,,,
1,CP075493.1,1087381,1087617,-,protein_coding,I4U23_000245,,,
1,CP075493.1,1088304,1089293,+,protein_coding,I4U23_000246,,,
1,CP075493.1,1090383,1092112,+,protein_coding,I4U23_000247,,,
1,CP075493.1,1092554,1096028,+,protein_coding,I4U23_000248,,,
1,CP075493.1,1096535,1098506,+,protein_coding,I4U23_000249,,,
1,CP075493.1,1098837,1099687,+,protein_coding,I4U23_000250,,,
1,CP075493.1,1099821,1102405,-,protein_coding,I4U23_000251,,,
1,CP075493.1,1104045,1104626,+,protein_coding,I4U23_000252,,,
1,CP075493.1,1105018,1105949,-,protein_coding,I4U23_000253,,,
1,CP075493.1,1106888,1107579,+,protein_coding,I4U23_000254,,,
1,CP075493.1,1108489,1109715,+,protein_coding,I4U23_000255,,,
1,CP075493.1,1110497,1113047,+,protein_coding,I4U23_000256,,,
1,CP075493.1,1114041,1115729,+,protein_coding,I4U23_000257,,,
1,CP075493.1,1118065,1119047,+,protein_coding,I4U23_000258,,,
1,CP075493.1,1121033,1121738,+,protein_coding,I4U23_000259,,,
1,CP075493.1,1122039,1123606,+,protein_coding,I4U23_000260,,,
1,CP075493.1,1123747,1125117,-,protein_coding,I4U23_000261,,,
1,CP075493.1,1126513,1127308,+,protein_coding,I4U23_000262,,,
1,CP075493.1,1128247,1129477,-,protein_coding,I4U23_000263,,,
1,CP075493.1,1130736,1132624,+,protein_coding,I4U23_000264,,,
1,CP075493.1,1133056,1135476,-,protein_coding,I4U23_000265,,,
1,CP075493.1,1137548,1138110,+,protein_coding,I4U23_000266,,,
1,CP075493.1,1138311,1138744,-,protein_coding,I4U23_000267,,,
1,CP075493.1,1139021,1139656,-,protein_coding,I4U23_000268,,,
1,CP075493.1,1140788,1147730,-,protein_coding,I4U23_000269,,,
1,CP075493.1,1150065,1151832,-,protein_coding,I4U23_000270,,,
1,CP075493.1,1152962,1154030,-,protein_coding,I4U23_000271,,,
1,CP075493.1,1154071,1155727,-,protein_coding,I4U23_000272,,,
1,CP075493.1,1155999,1156582,+,protein_coding,I4U23_000273,,,
1,CP075493.1,1156844,1157966,-,protein_coding,I4U23_000274,,,
1,CP075493.1,1158925,1159704,-,protein_coding,I4U23_000275,,,
1,CP075493.1,1163754,1165180,-,protein_coding,I4U23_000276,,,
1,CP075493.1,1165602,1166362,+,protein_coding,I4U23_000277,,,
1,CP075493.1,1166491,1170114,+,protein_coding,I4U23_000278,,,
1,CP075493.1,1170447,1173506,+,protein_coding,I4U23_000279,,,
1,CP075493.1,1173603,1176822,-,protein_coding,I4U23_000280,,,
1,CP075493.1,1180702,1181927,+,protein_coding,I4U23_000281,,,
1,CP075493.1,1183157,1186366,+,protein_coding,I4U23_000282,,,
1,CP075493.1,1187797,1190371,+,protein_coding,I4U23_000283,,,
1,CP075493.1,1193856,1194416,-,protein_coding,I4U23_000284,,,
1,CP075493.1,1197709,1199421,+,protein_coding,I4U23_000285,,,
1,CP075493.1,1199866,1201862,-,protein_coding,I4U23_000286,,,
1,CP075493.1,1202243,1204259,-,protein_coding,I4U23_000287,,,
1,CP075493.1,1205982,1211608,-,protein_coding,I4U23_000288,,,
1,CP075493.1,1213054,1214105,-,protein_coding,I4U23_000289,,,
1,CP075493.1,1214468,1215954,-,protein_coding,I4U23_000290,,,
1,CP075493.1,1216573,1219061,-,protein_coding,I4U23_000291,,,
1,CP075493.1,1220145,1221103,+,protein_coding,I4U23_000292,,,
1,CP075493.1,1221339,1227833,+,protein_coding,I4U23_000293,,,
1,CP075493.1,1229292,1229819,-,protein_coding,I4U23_000294,,,
1,CP075493.1,1230216,1230431,-,protein_coding,I4U23_000295,,,
1,CP075493.1,1233711,1234444,-,protein_coding,I4U23_000296,,,
1,CP075493.1,1236710,1237294,-,protein_coding,I4U23_000297,,,
1,CP075493.1,1239943,1241052,+,protein_coding,I4U23_000298,,,
1,CP075493.1,1241208,1243322,-,protein_coding,I4U23_000299,,,
1,CP075493.1,1243495,1244158,+,protein_coding,I4U23_000300,,,
1,CP075493.1,1244138,1245155,-,protein_coding,I4U23_000301,,,
1,CP075493.1,1247888,1248930,+,protein_coding,I4U23_000302,,,
1,CP075493.1,1249916,1251380,-,protein_coding,I4U23_000303,,,
1,CP075493.1,1252334,1253871,+,protein_coding,I4U23_000304,,,
1,CP075493.1,1255080,1257030,+,protein_coding,I4U23_000305,,,
1,CP075493.1,1257708,1259161,+,protein_coding,I4U23_000306,,,
1,CP075493.1,1259331,1264364,-,protein_coding,I4U23_000307,,,
1,CP075493.1,1271655,1273318,-,protein_coding,I4U23_000308,,,
1,CP075493.1,1279013,1283507,+,protein_coding,I4U23_000309,,,
1,CP075493.1,1283375,1283764,-,protein_coding,I4U23_000310,,,
1,CP075493.1,1284445,1285227,+,protein_coding,I4U23_000311,,,
1,CP075493.1,1286726,1288000,+,protein_coding,I4U23_000312,,,
1,CP075493.1,1289514,1292863,-,protein_coding,I4U23_000313,,,
1,CP075493.1,1294384,1295950,+,protein_coding,I4U23_000314,,,
1,CP075493.1,1297208,1299610,-,protein_coding,I4U23_000315,,,
1,CP075493.1,1300290,1302404,+,protein_coding,I4U23_000316,,,
1,CP075493.1,1305683,1306603,+,protein_coding,I4U23_000317,,,
1,CP075493.1,1306892,1308481,+,protein_coding,I4U23_000318,,,
1,CP075493.1,1308840,1310894,+,protein_coding,I4U23_000319,,,
1,CP075493.1,1311325,1312044,+,protein_coding,I4U23_000320,,,
1,CP075493.1,1313256,1313716,+,protein_coding,I4U23_000321,,,
1,CP075493.1,1314129,1315016,-,protein_coding,I4U23_000322,,,
1,CP075493.1,1316769,1317278,-,protein_coding,I4U23_000323,,,
1,CP075493.1,1321299,1324386,+,protein_coding,I4U23_000324,,,
1,CP075493.1,1324459,1324650,-,protein_coding,I4U23_000325,,,
1,CP075493.1,1326032,1326314,+,protein_coding,I4U23_000326,,,
1,CP075493.1,1330931,1332089,+,protein_coding,I4U23_000327,,,
1,CP075493.1,1332067,1333665,+,protein_coding,I4U23_000328,,,
1,CP075493.1,1335597,1337330,+,protein_coding,I4U23_000329,,,
1,CP075493.1,1337914,1338359,+,protein_coding,I4U23_000330,,,
1,CP075493.1,1338601,1341291,+,protein_coding,I4U23_000331,,,
1,CP075493.1,1341655,1342672,+,protein_coding,I4U23_000332,,,
1,CP075493.1,1342757,1345944,-,protein_coding,I4U23_000333,,,
1,CP075493.1,1347731,1348498,+,protein_coding,I4U23_000334,,,
1,CP075493.1,1349964,1350413,+,protein_coding,I4U23_000335,,,
1,CP075493.1,1351231,1352899,+,protein_coding,I4U23_000336,,,
1,CP075493.1,1352909,1353467,+,protein_coding,I4U23_000337,,,
1,CP075493.1,1353486,1356908,+,protein_coding,I4U23_000338,,,
1,CP075493.1,1369919,1370422,-,protein_coding,I4U23_000339,,,
1,CP075493.1,1371255,1373874,-,protein_coding,I4U23_000340,,,
1,CP075493.1,1376079,1377067,+,protein_coding,I4U23_000341,,,
1,CP075493.1,1377350,1380329,-,protein_coding,I4U23_000342,,,
1,CP075493.1,1381084,1382833,+,protein_coding,I4U23_000343,,,
1,CP075493.1,1383876,1385029,-,protein_coding,I4U23_000344,,,
1,CP075493.1,1387861,1393783,+,protein_coding,I4U23_000345,,,
1,CP075493.1,1393954,1394263,-,protein_coding,I4U23_000346,,,
1,CP075493.1,1396644,1397887,+,protein_coding,I4U23_000347,,,
1,CP075493.1,1399188,1399676,-,protein_coding,I4U23_000348,,,
1,CP075493.1,1400561,1402516,-,protein_coding,I4U23_000349,,,
1,CP075493.1,1403220,1404450,+,protein_coding,I4U23_000350,,,
1,CP075493.1,1405370,1408069,+,protein_coding,I4U23_000351,,,
1,CP075493.1,1408336,1408874,-,protein_coding,I4U23_000352,,,
1,CP075493.1,1410689,1415237,+,protein_coding,I4U23_000353,,,
1,CP075493.1,1415312,1419540,+,protein_coding,I4U23_000354,,,
1,CP075493.1,1419728,1421912,-,protein_coding,I4U23_000355,,,
1,CP075493.1,1425139,1427423,-,protein_coding,I4U23_000356,,,
1,CP075493.1,1432568,1443880,-,protein_coding,I4U23_000357,,,
1,CP075493.1,1444550,1445017,-,protein_coding,I4U23_000358,,,
1,CP075493.1,1445794,1447269,+,protein_coding,I4U23_000359,,,
1,CP075493.1,1447596,1449168,+,protein_coding,I4U23_000360,,,
1,CP075493.1,1449792,1450895,+,protein_coding,I4U23_000361,,,
1,CP075493.1,1451655,1452165,-,protein_coding,I4U23_000362,,,
1,CP075493.1,1455041,1458310,+,protein_coding,I4U23_000363,,,
1,CP075493.1,1458380,1459409,+,protein_coding,I4U23_000364,,,
1,CP075493.1,1459691,1461303,-,protein_coding,I4U23_000365,,,
1,CP075493.1,1463252,1466053,-,protein_coding,I4U23_000366,,,
1,CP075493.1,1467337,1469651,+,protein_coding,I4U23_000367,,,
1,CP075493.1,1469642,1472432,+,protein_coding,I4U23_000368,,,
1,CP075493.1,1472430,1473640,+,protein_coding,I4U23_000369,,,
1,CP075493.1,1473638,1474273,+,protein_coding,I4U23_000370,,,
1,CP075493.1,1475684,1476482,+,protein_coding,I4U23_000371,,,
1,CP075493.1,1483111,1483335,+,protein_coding,I4U23_000372,,,
1,CP075493.1,1484584,1485255,+,protein_coding,I4U23_000373,,,
1,CP075493.1,1486046,1488184,+,protein_coding,I4U23_000374,,,
1,CP075493.1,1489549,1494387,-,protein_coding,I4U23_000375,,,
1,CP075493.1,1494693,1496565,-,protein_coding,I4U23_000376,,,
1,CP075493.1,1499228,1500726,+,protein_coding,I4U23_000377,,,
1,CP075493.1,1500949,1503567,-,protein_coding,I4U23_000378,,,
1,CP075493.1,1507718,1509469,-,protein_coding,I4U23_000379,,,
1,CP075493.1,1511819,1513428,-,protein_coding,I4U23_000380,,,
1,CP075493.1,1513679,1515613,-,protein_coding,I4U23_000381,,,
1,CP075493.1,1515591,1516910,-,protein_coding,I4U23_000382,,,
1,CP075493.1,1516990,1518183,+,protein_coding,I4U23_000383,,,
1,CP075493.1,1523330,1526439,+,protein_coding,I4U23_000384,,,
1,CP075493.1,1527086,1528029,+,protein_coding,I4U23_000385,,,
1,CP075493.1,1528430,1529497,-,protein_coding,I4U23_000386,,,
1,CP075493.1,1531837,1532623,+,protein_coding,I4U23_000387,,,
1,CP075493.1,1532619,1533698,-,protein_coding,I4U23_000388,,,
1,CP075493.1,1533853,1537436,-,protein_coding,I4U23_000389,,,
1,CP075493.1,1537926,1539229,+,protein_coding,I4U23_000390,,,
1,CP075493.1,1539262,1540204,-,protein_coding,I4U23_000391,,,
1,CP075493.1,1542975,1543657,+,protein_coding,I4U23_000392,,,
1,CP075493.1,1544639,1547282,-,protein_coding,I4U23_000393,,,
1,CP075493.1,1547740,1551514,+,protein_coding,I4U23_000394,,,
1,CP075493.1,1551770,1554347,+,protein_coding,I4U23_000395,,,
1,CP075493.1,1554525,1556682,+,protein_coding,I4U23_000396,,,
1,CP075493.1,1557485,1560909,+,protein_coding,I4U23_000397,,,
1,CP075493.1,1560999,1563027,+,protein_coding,I4U23_000398,,,
