species_name,chr_id,chr_type,chr_size_bp,centromere_start,centromere_end
Rattus_norvegicus,chr10,chromosome,88803808,35521523,37759527
Rattus_norvegicus,chr11,chromosome,195123189,78049275,80527721
Rattus_norvegicus,chr12,chromosome,33647531,13459012,15985964
Rattus_norvegicus,chr13,chromosome,135816263,54326505,57316424
Rattus_norvegicus,chr14,chromosome,184491342,73796536,76731270
Rattus_norvegicus,chr15,chromosome,203311911,81324764,83997027
Rattus_norvegicus,chr16,chromosome,187020826,74808330,76852837
Rattus_norvegicus,chr17,chromosome,82279647,32911858,35477898
Rattus_norvegicus,chr18,chromosome,58543833,23417533,25980471
Rattus_norvegicus,chr19,chromosome,117071550,46828620,49801667
Rattus_norvegicus,chr20,chromosome,37294160,14917664,17359606
Rattus_norvegicus,X,chromosome,126446045,50578418,53009990
Rattus_norvegicus,Y,chromosome,108030786,43212314,45233125
Danio_rerio,chr1,chromosome,59277997,23711198,25952440
Danio_rerio,chr2,chromosome,62210442,24884176,27045380
Danio_rerio,chr3,chromosome,93096117,37238446,40018326
Danio_rerio,chr4,chromosome,70582419,28232967,30587824
Danio_rerio,chr5,chromosome,47292427,18916970,21530300
Danio_rerio,chr6,chromosome,48610445,19444178,21567118
Danio_rerio,chr7,chromosome,43992078,17596831,20304784
Danio_rerio,chr8,chromosome,101731789,40692715,43280129
Danio_rerio,chr9,chromosome,66212955,26485182,29391327
Danio_rerio,chr10,chromosome,60724710,24289884,27250981
Danio_rerio,chr11,chromosome,61913182,24765272,27396111
Danio_rerio,chr12,chromosome,95426996,38170798,41053905
Danio_rerio,chr13,chromosome,74880031,29952012,32354916
Danio_rerio,chr14,chromosome,103038929,41215571,43938542
Danio_rerio,chr15,chromosome,67961703,27184681,30032766
Danio_rerio,chr16,chromosome,44827711,17931084,19941288
Danio_rerio,chr17,chromosome,22382160,8952864,11387559
Danio_rerio,chr18,chromosome,24937360,9974944,12057031
Danio_rerio,chr19,chromosome,43490735,17396294,20309261
Danio_rerio,chr20,chromosome,48763723,19505489,22393821
Danio_rerio,chr21,chromosome,32052741,12821096,15781684
Danio_rerio,chr22,chromosome,74970924,29988369,32758780
Danio_rerio,chr23,chromosome,58080753,23232301,25703524
Danio_rerio,chr24,chromosome,65089406,26035762,28528340
Danio_rerio,chr25,chromosome,90648188,36259275,38732101
Drosophila_melanogaster,2L,chromosome,32038824,12815529,15064140
Drosophila_melanogaster,2R,chromosome,11675484,4670193,6952078
Drosophila_melanogaster,3L,chromosome,25831477,10332590,12457176
Drosophila_melanogaster,3R,chromosome,25983271,10393308,13148502
Drosophila_melanogaster,4,chromosome,30481728,12192691,14347829
Drosophila_melanogaster,X,chromosome,28263039,11305215,13667869
Caenorhabditis_elegans,chr1,chromosome,23493972,9397588,12158099
Caenorhabditis_elegans,chr2,chromosome,10276911,4110764,7057139
Caenorhabditis_elegans,chr3,chromosome,10719890,4287956,7113457
Caenorhabditis_elegans,chr4,chromosome,14119523,5647809,7946890
Caenorhabditis_elegans,chr5,chromosome,11931180,4772472,7033361
Caenorhabditis_elegans,X,chromosome,18303533,7321413,9762978
Gallus_gallus,chr1,chromosome,44448381,17779352,20678530
Gallus_gallus,chr2,chromosome,30033104,12013241,14702938
Gallus_gallus,chr3,chromosome,82296799,32918719,35783458
Gallus_gallus,chr4,chromosome,140077422,56030968,58164611
Gallus_gallus,chr5,chromosome,97043662,38817464,41132368
Gallus_gallus,chr6,chromosome,117631063,47052425,49276479
Gallus_gallus,chr7,chromosome,66881889,26752755,29117863
Gallus_gallus,chr8,chromosome,140880393,56352157,58731155
Gallus_gallus,chr9,chromosome,110395027,44158010,46343312
Gallus_gallus,chr10,chromosome,125316082,50126432,52131669
Gallus_gallus,chr11,chromosome,172059134,68823653,71154754
Gallus_gallus,chr12,chromosome,96191445,38476578,40579577
Gallus_gallus,chr13,chromosome,160483348,64193339,66755446
Gallus_gallus,chr14,chromosome,34962695,13985078,16601890
Gallus_gallus,chr15,chromosome,114415199,45766079,48560328
Gallus_gallus,chr16,chromosome,40087882,16035152,18950135
Gallus_gallus,chr17,chromosome,134486065,53794426,56549044
Gallus_gallus,chr18,chromosome,79390629,31756251,33886228
Gallus_gallus,chr19,chromosome,77663943,31065577,33976291
Gallus_gallus,chr20,chromosome,165038239,66015295,68833357
Gallus_gallus,chr21,chromosome,73961493,29584597,31693019
Gallus_gallus,chr22,chromosome,164588015,65835206,68138054
Gallus_gallus,chr23,chromosome,104524854,41809941,44759964
Gallus_gallus,chr24,chromosome,28720991,11488396,14481502
Gallus_gallus,chr25,chromosome,153844616,61537846,64121446
Gallus_gallus,chr26,chromosome,68276658,27310663,30239974
Gallus_gallus,chr27,chromosome,80549333,32219733,34659120
Gallus_gallus,chr28,chromosome,149283332,59713332,61719705
Gallus_gallus,W,chromosome,33007431,13202972,15623815
Gallus_gallus,Z,chromosome,171145398,68458159,70941460
Xenopus_tropicalis,chr1,chromosome,79207100,31682840,34360652
Xenopus_tropicalis,chr2,chromosome,105037070,42014828,44440885
Xenopus_tropicalis,chr3,chromosome,77756242,31102496,34087836
Xenopus_tropicalis,chr4,chromosome,66456625,26582650,29160460
Xenopus_tropicalis,chr5,chromosome,92351207,36940482,39745755
Xenopus_tropicalis,chr6,chromosome,69491962,27796784,30539078
Xenopus_tropicalis,chr7,chromosome,33606841,13442736,16216039
Xenopus_tropicalis,chr8,chromosome,90134916,36053966,39010532
Xenopus_tropicalis,chr9,chromosome,69311285,27724514,30543737
Xenopus_tropicalis,chr10,chromosome,129347651,51739060,54617793
Saccharomyces_cerevisiae,chr1,chromosome,11607248,4642899,7469233
Saccharomyces_cerevisiae,chr2,chromosome,8730988,3492395,6128931
Saccharomyces_cerevisiae,chr3,chromosome,12366085,4946434,7879260
Saccharomyces_cerevisiae,chr4,chromosome,7496511,2998604,5350696
Saccharomyces_cerevisiae,chr5,chromosome,12444604,4977841,7465189
Saccharomyces_cerevisiae,chr6,chromosome,8567705,3427082,6282062
Saccharomyces_cerevisiae,chr7,chromosome,2560930,1024372,3686877
Saccharomyces_cerevisiae,chr8,chromosome,6933436,2773374,5317506
Saccharomyces_cerevisiae,chr9,chromosome,7158109,2863243,5413814
Saccharomyces_cerevisiae,chr10,chromosome,5714814,2285925,4896609
Saccharomyces_cerevisiae,chr11,chromosome,7473592,2989436,5123044
Saccharomyces_cerevisiae,chr12,chromosome,7333793,2933517,5127263
Saccharomyces_cerevisiae,chr13,chromosome,11037863,4415145,7074077
Saccharomyces_cerevisiae,chr14,chromosome,6580984,2632393,5479412
Saccharomyces_cerevisiae,chr15,chromosome,11734150,4693660,7608436
Saccharomyces_cerevisiae,chr16,chromosome,6892546,2757018,5310505
